Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Yearly_Customer,Monthly_Customer,Daily_Customer,Response
1987,1.0,3,61787.0,0,0,71,621,73,414,78,48,85,1,8,4,6,5,0,0,0,0,0,0,3,11,2013.0,7.0,6.0,0
1952,0.0,3,62335.0,0,1,87,243,131,217,85,6,26,2,3,3,13,2,0,0,0,0,0,0,3,11,2013.0,5.0,23.0,0
1971,3.0,1,42033.0,1,1,95,11,1,4,2,0,7,1,1,0,2,7,0,0,0,0,0,0,3,11,2012.0,9.0,19.0,0
1957,2.0,3,41437.0,1,1,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,3,11,2012.0,9.0,22.0,0
1955,1.0,2,38452.0,1,1,62,56,0,14,0,0,2,3,3,0,3,7,0,0,0,0,0,0,3,11,2014.0,3.0,30.0,0
1984,2.0,2,38175.0,1,0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,3,11,2013.0,9.0,23.0,0
1956,1.0,1,58656.0,0,1,25,962,12,194,16,24,12,4,7,8,13,6,0,0,1,0,0,0,3,11,2012.0,9.0,20.0,0
1965,0.0,1,52117.0,0,1,55,112,10,107,30,0,20,2,5,2,4,7,0,0,0,0,0,0,3,11,2012.0,8.0,16.0,0
1973,2.0,2,54222.0,0,1,98,199,12,31,3,12,7,1,3,3,5,3,0,0,0,0,0,0,3,11,2014.0,3.0,1.0,0
1978,0.0,1,41154.0,0,1,98,44,2,11,2,3,7,1,1,0,4,5,0,0,0,0,0,0,3,11,2013.0,4.0,9.0,0
1966,0.0,2,80398.0,0,0,92,342,51,936,207,35,26,1,5,8,12,3,0,0,1,0,0,0,3,11,2012.0,11.0,10.0,0
1977,0.0,2,22108.0,1,1,46,5,3,9,6,2,6,2,2,0,3,7,0,0,0,0,0,0,3,11,2014.0,5.0,8.0,0
1974,0.0,1,44392.0,1,1,71,87,5,71,7,12,29,5,4,1,4,7,0,0,0,0,0,0,3,11,2013.0,9.0,5.0,0
1951,0.0,2,71107.0,0,1,61,533,10,217,198,174,195,2,7,6,13,4,0,0,0,0,0,0,3,11,2013.0,2.0,17.0,0
1959,0.0,2,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,2012.0,12.0,28.0,0
1955,0.0,3,37244.0,1,1,90,18,2,10,0,0,25,1,1,1,2,7,1,0,0,0,0,0,3,11,2013.0,4.0,27.0,0
1958,3.0,0,75342.0,0,1,38,204,97,97,21,118,26,1,5,2,10,4,0,0,0,0,0,0,3,11,2013.0,5.0,6.0,0
1954,0.0,3,70044.0,0,1,46,1073,0,250,153,14,14,4,7,10,5,5,0,0,0,0,0,0,3,11,2013.0,2.0,18.0,0
1967,0.0,0,79146.0,1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,3,11,2014.0,4.0,24.0,0
1971,2.0,2,42403.0,1,0,18,22,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,0,3,11,2013.0,12.0,11.0,0
1964,0.0,1,55761.0,0,1,97,136,1,12,0,3,32,2,4,1,3,6,0,1,0,0,0,0,3,11,2014.0,4.0,24.0,0
1969,2.0,3,58086.0,0,1,80,708,7,62,0,0,15,2,11,3,7,8,0,0,0,0,0,0,3,11,2013.0,1.0,20.0,0
1946,1.0,2,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,2013.0,9.0,28.0,0
1969,0.0,3,69901.0,0,1,95,312,21,206,102,92,149,3,7,3,10,5,0,0,0,0,0,0,3,11,2013.0,5.0,29.0,0
1974,0.0,2,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,3,11,2012.0,9.0,12.0,0
1980,3.0,0,31859.0,1,0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,3,11,2014.0,2.0,27.0,0
1968,0.0,2,41120.0,1,1,80,24,2,23,0,8,24,3,2,1,3,6,0,0,0,0,0,0,3,11,2013.0,11.0,6.0,0
1955,2.0,2,38725.0,1,1,52,31,0,6,2,1,5,2,1,0,4,4,0,0,0,0,0,0,3,11,2014.0,5.0,10.0,0
1975,0.0,1,59481.0,0,1,47,178,3,85,71,66,58,2,3,3,8,2,0,0,0,0,0,0,3,11,2013.0,10.0,23.0,0
1977,0.0,2,72117.0,0,1,34,707,20,171,65,60,50,1,9,7,9,5,0,0,0,0,0,0,3,11,2013.0,8.0,20.0,0
1986,3.0,2,21955.0,1,0,81,5,1,7,17,14,11,2,2,1,3,6,0,0,0,0,0,0,3,11,2013.0,9.0,7.0,0
1956,0.0,2,67131.0,0,1,72,465,71,250,93,35,62,3,9,2,12,6,0,0,0,0,0,0,3,11,2013.0,3.0,26.0,0
1975,1.0,2,47808.0,0,1,30,123,1,26,2,0,72,2,3,2,3,7,1,0,0,0,0,0,3,11,2013.0,10.0,20.0,0
1946,2.0,2,51012.0,0,0,86,102,9,63,2,9,24,1,4,1,4,6,0,0,0,0,0,0,3,11,2013.0,4.0,18.0,0
1985,0.0,0,70596.0,0,0,68,347,44,534,17,0,26,1,3,5,12,2,0,0,0,0,0,0,3,11,2012.0,10.0,5.0,0
1967,0.0,2,42664.0,0,1,44,21,0,3,0,0,0,1,1,0,3,6,0,0,0,0,0,0,3,11,2014.0,3.0,18.0,0
1985,0.0,0,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,2012.0,8.0,29.0,0
1977,2.0,2,28973.0,0,0,59,206,0,46,3,2,12,2,5,1,5,8,0,0,0,0,0,0,3,11,2012.0,10.0,13.0,0
1973,2.0,1,39435.0,1,0,16,71,0,18,0,0,13,1,3,1,2,7,0,0,0,0,0,0,3,11,2013.0,8.0,6.0,0
1984,3.0,2,65370.0,0,0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,3,11,2013.0,8.0,1.0,0
1976,2.0,0,42473.0,1,1,72,93,1,21,0,4,25,3,2,1,4,5,0,0,0,0,0,0,3,11,2014.0,2.0,17.0,0
1959,0.0,1,71232.0,0,1,91,653,17,170,34,26,17,2,11,2,10,7,0,0,0,0,0,0,3,11,2013.0,11.0,28.0,0
1973,0.0,2,49094.0,0,1,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,3,11,2012.0,9.0,21.0,0
1979,0.0,1,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,2013.0,11.0,2.0,0
1950,0.0,1,34026.0,1,1,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,3,11,2013.0,8.0,5.0,0
1963,2.0,0,48918.0,1,1,21,52,0,9,0,0,1,2,1,0,4,4,0,0,0,0,0,0,3,11,2014.0,4.0,12.0,0
1976,0.0,0,37697.0,1,0,82,34,6,21,11,4,8,1,2,1,3,6,0,0,0,0,0,0,3,11,2014.0,2.0,7.0,0
1952,0.0,1,34074.0,1,1,69,135,1,41,10,1,67,5,3,3,3,6,1,0,0,0,0,0,3,11,2013.0,7.0,13.0,0
1960,1.0,2,28520.0,1,1,55,11,0,10,0,2,20,1,1,1,2,6,0,0,0,0,0,0,3,11,2013.0,6.0,14.0,0
1955,0.0,0,62535.0,0,1,13,163,48,90,0,45,52,1,3,2,8,3,0,0,0,0,0,0,3,11,2013.0,10.0,3.0,0
1977,1.0,0,36273.0,1,0,80,29,3,30,3,2,9,2,3,0,3,6,0,0,0,0,0,0,3,11,2014.0,4.0,16.0,0
1981,3.0,1,75774.0,1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,3,11,2014.0,5.0,2.0,0
1951,1.0,1,59385.0,1,1,85,135,0,10,0,4,36,2,3,1,4,5,0,0,0,0,0,0,3,11,2013.0,4.0,28.0,0
1951,0.0,2,44689.0,1,1,82,18,0,5,0,0,11,2,1,1,2,7,1,0,0,0,0,0,3,11,2014.0,1.0,10.0,0
1958,0.0,1,53977.0,0,1,21,620,16,165,0,24,82,5,5,5,12,5,0,0,0,0,0,0,3,11,2013.0,6.0,8.0,0
1964,0.0,0,18701.0,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,3,11,2013.0,6.0,4.0,0
1966,0.0,1,37758.0,1,1,49,27,2,10,0,0,1,2,1,0,3,8,0,0,0,0,0,0,3,11,2012.0,10.0,4.0,0
1963,2.0,0,46757.0,0,1,71,777,30,163,0,51,122,6,4,4,7,9,0,0,0,0,0,0,3,11,2012.0,11.0,16.0,0
1969,1.0,2,79734.0,0,0,72,572,8,232,23,62,17,1,4,3,6,1,0,0,0,1,0,0,3,11,2014.0,6.0,28.0,0
1982,3.0,1,58582.0,0,1,15,402,35,106,101,77,42,2,9,2,9,5,0,1,0,0,0,0,3,11,2013.0,9.0,28.0,0
1962,0.0,1,62568.0,0,1,99,362,17,398,80,35,61,3,5,3,5,4,0,0,0,1,0,0,3,11,2014.0,4.0,7.0,0
1971,1.0,3,44635.0,1,1,25,56,0,9,0,0,3,2,2,0,3,7,0,0,0,0,0,0,3,11,2013.0,10.0,11.0,0
1971,1.0,0,33316.0,1,1,34,79,1,31,4,4,12,3,2,1,4,6,0,0,0,0,0,0,3,11,2013.0,10.0,4.0,0
1978,3.0,1,52513.0,0,0,84,367,17,241,104,188,232,2,9,5,9,7,0,0,0,0,0,0,3,11,2012.0,9.0,4.0,0
1965,2.0,4,54111.0,0,1,97,267,6,54,8,3,50,2,5,2,6,5,0,0,0,0,0,0,3,11,2013.0,8.0,25.0,0
1959,0.0,1,44911.0,0,1,11,159,0,22,2,1,31,3,4,1,4,7,0,0,0,0,0,0,3,11,2013.0,3.0,15.0,0
1974,0.0,1,48186.0,1,0,39,97,3,66,12,7,34,3,4,1,4,7,0,0,0,0,0,0,3,11,2014.0,3.0,20.0,0
1970,2.0,2,80336.0,0,0,12,209,19,456,160,142,66,1,2,9,13,1,0,0,0,0,0,0,3,11,2013.0,9.0,9.0,0
1957,0.0,2,47743.0,0,1,56,198,2,43,0,12,20,3,4,1,6,6,0,1,0,0,0,0,3,11,2013.0,3.0,22.0,0
1968,1.0,3,27071.0,1,0,90,8,3,19,0,2,3,2,2,0,3,6,0,0,0,0,0,0,3,11,2014.0,4.0,23.0,0
1965,1.0,1,65735.0,1,1,37,239,7,119,4,15,11,5,6,2,6,7,0,0,0,0,0,0,3,11,2013.0,12.0,7.0,0
1963,2.0,2,4023.0,1,1,29,5,0,1,1,1,1,15,0,0,0,19,0,0,0,0,0,0,3,11,2014.0,6.0,23.0,0
1966,2.0,2,57705.0,0,1,14,383,0,53,6,4,40,3,8,1,6,6,0,0,0,0,0,0,3,11,2014.0,1.0,11.0,0
1975,0.0,1,22280.0,1,0,85,2,1,4,3,1,2,1,1,0,2,8,0,0,0,0,0,0,3,11,2013.0,5.0,19.0,0
1971,1.0,3,74290.0,0,1,70,1121,0,72,0,12,12,4,10,8,10,6,0,1,0,1,0,0,3,11,2013.0,8.0,12.0,0
1951,1.0,0,58217.0,2,1,84,68,1,13,3,5,13,1,2,0,4,6,0,0,0,0,0,0,3,11,2012.0,11.0,17.0,0
1985,0.0,1,54006.0,1,0,42,174,77,203,6,24,97,2,8,1,7,7,0,0,0,0,0,0,3,11,2012.0,9.0,18.0,0
1966,2.0,2,69063.0,0,1,16,666,35,124,69,8,26,1,5,3,5,3,0,0,0,0,0,0,3,11,2012.0,11.0,7.0,0
1979,0.0,0,61825.0,0,1,56,162,50,100,55,30,27,1,4,2,8,4,0,0,0,0,0,0,3,11,2013.0,8.0,7.0,0
1971,0.0,2,70886.0,1,0,65,407,70,239,103,88,53,1,5,4,4,2,0,0,0,0,0,0,3,11,2013.0,10.0,14.0,0
1968,1.0,1,32889.0,1,1,78,28,0,13,4,2,8,3,2,1,3,5,0,0,0,0,0,0,3,11,2013.0,9.0,6.0,0
1971,1.0,1,30538.0,1,0,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,3,11,2012.0,10.0,1.0,0
1964,0.0,3,69932.0,0,1,97,412,172,153,150,105,57,2,7,6,11,4,0,0,0,0,0,0,3,11,2013.0,6.0,12.0,0
1972,0.0,0,44503.0,1,1,83,31,1,8,0,0,8,2,2,0,3,6,0,0,0,0,0,0,3,11,2014.0,4.0,16.0,0
1952,0.0,3,49638.0,0,1,71,18,10,3,3,5,0,1,1,0,3,2,0,0,0,0,0,0,3,11,2014.0,4.0,19.0,0
1958,0.0,2,72905.0,0,0,52,407,114,445,181,165,203,1,3,7,9,1,0,0,0,1,0,0,3,11,2014.0,1.0,21.0,0
1951,2.0,1,69702.0,0,1,8,664,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,3,11,2013.0,2.0,19.0,0
1968,2.0,3,50616.0,0,1,56,128,0,16,0,1,4,2,4,0,4,7,0,0,0,0,0,0,3,11,2014.0,4.0,18.0,0
1969,1.0,0,62772.0,0,1,74,581,49,157,43,8,108,1,5,6,11,2,0,1,0,0,0,0,3,11,2013.0,5.0,19.0,0
1985,2.0,0,30298.0,0,0,48,6,3,12,6,1,0,1,1,1,3,3,0,0,0,0,0,0,3,11,2014.0,5.0,19.0,0
1984,0.0,0,52413.0,1,0,67,185,8,133,56,56,12,2,7,1,7,7,0,0,0,0,0,0,3,11,2012.0,11.0,3.0,0
1975,0.0,1,76532.0,1,1,38,355,30,177,90,138,30,4,9,5,7,5,0,0,0,0,0,0,3,11,2013.0,9.0,9.0,0
1985,0.0,2,31158.0,1,0,62,25,6,16,20,0,5,2,2,0,3,8,0,0,0,0,0,0,3,11,2013.0,1.0,27.0,0
1968,0.0,3,61671.0,0,1,23,641,7,56,0,0,28,8,10,4,6,8,0,1,0,1,0,0,3,11,2014.0,6.0,3.0,0
1974,0.0,0,69719.0,0,0,99,273,86,208,177,14,43,1,2,3,5,1,0,0,0,0,0,0,3,11,2014.0,5.0,26.0,0
1949,0.0,3,49160.0,0,1,29,122,21,43,25,10,15,2,3,1,6,6,0,0,0,0,0,0,3,11,2013.0,10.0,20.0,0
1950,2.0,1,59292.0,0,1,71,378,14,68,19,14,14,2,3,5,8,3,0,0,0,0,0,0,3,11,2013.0,6.0,13.0,0
1964,2.0,2,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,2013.0,2.0,23.0,0
1987,1.0,2,73395.0,0,0,94,272,7,80,20,7,11,1,4,4,6,2,0,0,0,0,0,0,3,11,2014.0,3.0,18.0,0
1971,0.0,3,29819.0,1,0,77,9,1,24,2,1,2,3,3,0,3,6,0,0,0,0,0,0,3,11,2013.0,10.0,24.0,0
1968,0.0,2,45688.0,0,1,20,279,0,18,0,0,9,2,3,1,8,4,0,1,0,0,0,0,3,11,2014.0,1.0,25.0,0
1959,0.0,2,35701.0,0,0,36,21,1,9,7,3,5,1,1,0,3,6,0,0,0,0,0,0,3,11,2013.0,3.0,19.0,0
1981,2.0,0,36038.0,1,0,82,23,0,15,0,2,7,2,3,0,3,6,0,0,0,0,0,0,3,11,2013.0,5.0,31.0,0
1976,0.0,0,20180.0,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,3,11,2013.0,2.0,20.0,0
1977,3.0,0,31878.0,0,1,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,3,11,2014.0,6.0,22.0,0
1972,3.0,2,70932.0,0,1,57,200,193,100,46,185,185,2,6,2,12,3,0,0,0,0,0,0,3,11,2014.0,1.0,19.0,0
1970,0.0,2,70617.0,0,0,45,353,61,753,40,46,27,1,3,3,7,2,0,0,0,0,0,0,3,11,2013.0,6.0,23.0,0
1974,2.0,2,61917.0,1,1,83,46,4,36,2,2,1,1,2,0,4,5,0,0,0,0,0,0,3,11,2013.0,11.0,20.0,0
1947,2.0,2,67472.0,0,1,93,162,31,127,8,17,69,2,4,2,7,3,0,0,0,0,0,0,3,11,2013.0,9.0,28.0,0
1951,0.0,2,75903.0,0,1,50,340,108,185,130,38,100,2,6,6,9,3,0,0,0,0,0,0,3,11,2013.0,4.0,8.0,0
1950,0.0,1,28320.0,0,1,68,19,1,14,3,2,4,1,1,0,3,8,0,0,0,0,0,0,3,11,2013.0,1.0,14.0,0
1951,0.0,4,70792.0,0,0,82,344,45,654,104,11,114,2,3,4,10,3,0,0,0,0,0,0,3,11,2013.0,2.0,6.0,0
1974,1.0,2,83891.0,0,1,24,217,38,350,111,85,15,1,4,7,10,1,0,0,0,0,0,0,3,11,2014.0,6.0,20.0,0
1968,0.0,0,36065.0,1,1,54,18,7,34,10,2,3,3,3,0,3,8,0,0,0,0,0,0,3,11,2013.0,3.0,31.0,0
1940,2.0,0,51141.0,0,0,96,144,0,7,0,0,6,1,3,1,4,5,0,0,0,0,0,0,3,11,2013.0,7.0,8.0,0
1976,0.0,2,56939.0,0,1,19,256,34,103,90,29,49,2,3,3,10,3,0,0,0,0,0,0,3,11,2013.0,9.0,18.0,0
1964,2.0,0,61798.0,0,0,13,338,4,89,11,8,13,1,4,2,9,4,0,0,0,0,0,0,3,11,2013.0,11.0,23.0,0
1976,0.0,1,29478.0,1,0,59,8,0,7,3,1,1,1,1,0,3,6,0,0,0,0,0,0,3,11,2014.0,1.0,17.0,0
1950,2.0,4,56551.0,1,1,48,67,4,32,17,2,16,3,2,1,4,4,0,0,0,0,0,0,3,11,2014.0,5.0,7.0,0
1965,1.0,2,70053.0,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,3,11,2013.0,7.0,3.0,0
1978,0.0,2,44359.0,1,1,19,20,0,14,7,3,1,3,2,0,4,3,0,0,0,0,0,0,3,11,2014.0,6.0,17.0,0
1966,0.0,3,48877.0,0,1,27,102,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,3,11,2014.0,1.0,5.0,0
1972,0.0,1,64474.0,0,1,59,381,35,172,56,86,93,2,8,2,10,5,0,0,0,0,0,0,3,11,2013.0,10.0,22.0,0
1983,0.0,0,39062.0,1,0,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,3,11,2014.0,3.0,25.0,0
1975,0.0,2,40794.0,0,1,18,261,23,73,4,23,50,2,6,3,5,7,0,0,0,0,0,0,3,11,2013.0,4.0,7.0,0
1971,3.0,2,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,3,11,2013.0,11.0,7.0,0
1969,0.0,2,4428.0,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,3,11,2013.0,10.0,5.0,0
1984,0.0,2,24570.0,1,0,97,28,34,62,11,14,44,3,4,0,4,9,0,0,0,0,0,0,3,11,2013.0,2.0,27.0,0
1962,1.0,2,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,3,11,2013.0,6.0,10.0,0
1975,0.0,0,53201.0,1,1,49,280,7,81,20,0,27,8,6,3,5,7,0,0,0,0,0,0,3,11,2013.0,2.0,12.0,0
1957,0.0,1,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,2012.0,12.0,24.0,0
1991,0.0,2,51373.0,0,0,37,83,2,101,64,26,117,1,3,5,3,4,0,0,0,0,0,0,3,11,2013.0,6.0,22.0,0
1956,0.0,2,58116.0,0,1,38,228,19,130,4,11,51,2,3,3,8,2,0,0,0,0,0,0,3,11,2014.0,4.0,13.0,0
1975,2.0,1,56559.0,0,1,46,226,22,133,41,31,31,3,4,3,8,4,0,0,0,0,0,0,3,11,2012.0,12.0,25.0,0
1980,3.0,0,67506.0,0,1,73,90,38,67,33,36,67,1,4,1,6,3,0,0,0,0,0,0,3,11,2014.0,1.0,2.0,0
1967,2.0,3,28420.0,1,0,36,4,2,5,2,0,0,1,1,0,2,6,0,0,0,0,0,0,3,11,2013.0,12.0,24.0,0
1966,0.0,0,33279.0,0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,3,11,2014.0,6.0,12.0,0
1959,2.0,3,68805.0,0,1,73,182,2,49,17,13,20,1,3,1,7,2,0,0,0,0,0,0,3,11,2013.0,9.0,17.0,0
1966,2.0,1,65814.0,0,1,90,561,14,113,10,14,35,3,8,2,10,5,0,0,0,0,0,0,3,11,2014.0,3.0,2.0,0
1986,0.0,0,39146.0,1,0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,3,11,2013.0,2.0,14.0,0
1967,0.0,1,27943.0,1,1,89,12,1,16,4,1,3,3,2,0,3,8,0,0,0,0,0,0,3,11,2013.0,4.0,15.0,0
1972,0.0,1,30261.0,1,2,75,8,0,5,0,3,6,1,0,0,3,8,0,0,0,0,0,0,3,11,2012.0,9.0,25.0,0
1956,0.0,2,48195.0,1,1,53,106,27,68,52,7,5,6,4,2,5,6,0,0,0,0,0,0,3,11,2014.0,1.0,21.0,0
1965,2.0,2,71322.0,0,1,57,753,43,226,69,10,204,2,8,5,13,4,0,0,0,0,0,0,3,11,2013.0,2.0,16.0,0
1979,1.0,2,32765.0,1,0,49,13,3,17,7,3,3,2,2,0,4,5,0,0,0,0,0,0,3,11,2014.0,2.0,23.0,0
1965,0.0,1,29672.0,1,1,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,3,11,2013.0,3.0,12.0,0
1985,3.0,1,7500.0,1,0,98,5,17,17,13,14,34,4,2,1,3,9,0,0,0,0,0,0,3,11,2012.0,8.0,1.0,0
1955,0.0,2,67225.0,0,1,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,3,11,2013.0,11.0,26.0,0
1984,0.0,2,38680.0,1,0,97,11,0,36,15,5,12,1,2,0,3,7,0,0,0,0,0,0,3,11,2013.0,3.0,28.0,0
1991,0.0,0,49767.0,0,0,92,202,47,197,55,42,149,1,5,4,8,4,0,0,0,0,0,0,3,11,2013.0,5.0,2.0,0
1981,0.0,2,29009.0,1,0,19,6,6,15,10,5,2,2,2,0,3,6,0,0,0,0,0,0,3,11,2013.0,11.0,29.0,0
1979,1.0,2,45057.0,1,0,80,37,0,7,3,0,3,1,2,0,3,5,0,0,0,0,0,0,3,11,2013.0,12.0,1.0,0
1970,0.0,0,43020.0,1,0,79,45,7,99,4,25,43,3,4,1,4,6,0,0,0,0,0,0,3,11,2013.0,11.0,30.0,0
1959,0.0,2,53154.0,0,1,50,129,0,21,0,1,7,1,3,1,4,4,0,0,0,0,0,0,3,11,2014.0,6.0,9.0,0
1951,0.0,2,32871.0,1,1,28,22,2,12,0,2,5,1,1,0,3,4,0,0,0,0,0,0,3,11,2013.0,3.0,9.0,0
1959,0.0,4,76320.0,0,1,49,526,35,214,69,53,35,2,6,3,4,2,0,0,0,0,0,0,3,11,2014.0,6.0,22.0,0
1953,0.0,1,48794.0,1,1,97,25,0,11,3,0,15,1,1,0,3,4,0,0,0,0,0,0,3,11,2014.0,6.0,26.0,0
1976,2.0,3,70179.0,0,1,10,532,88,168,69,44,133,3,7,3,13,5,0,0,0,0,0,0,3,11,2013.0,7.0,21.0,0
1950,0.0,2,59462.0,0,1,29,724,17,143,0,8,196,2,9,2,12,7,0,0,0,0,0,0,3,11,2013.0,1.0,5.0,0
1978,0.0,1,42554.0,1,1,93,29,1,11,0,0,0,2,2,0,3,4,0,0,0,0,0,0,3,11,2013.0,1.0,12.0,0
1974,0.0,2,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,2012.0,8.0,12.0,0
1951,0.0,4,67046.0,0,1,92,544,35,133,23,151,107,2,4,5,4,2,0,0,0,0,0,0,3,11,2013.0,1.0,6.0,0
1979,0.0,1,34350.0,1,0,81,16,3,15,2,1,11,1,1,0,3,7,0,0,0,0,0,0,3,11,2013.0,10.0,19.0,0
1949,0.0,1,54591.0,0,1,63,376,4,94,12,9,24,3,6,2,8,5,0,0,0,0,0,0,3,11,2013.0,8.0,5.0,0
1956,0.0,2,71866.0,0,1,85,184,178,178,103,39,33,1,6,3,10,3,0,0,0,0,0,0,3,11,2013.0,12.0,25.0,0
1977,1.0,2,27889.0,1,0,42,14,0,4,0,0,8,1,1,1,2,6,0,0,0,0,0,0,3,11,2013.0,7.0,5.0,0
1973,0.0,2,27803.0,1,0,40,8,26,46,38,9,49,2,3,0,4,8,0,0,0,0,0,0,3,11,2012.0,8.0,26.0,0
1971,1.0,2,34109.0,0,1,39,9,1,5,2,1,4,1,0,0,3,4,0,0,0,0,0,0,3,11,2013.0,11.0,6.0,0
1976,0.0,1,71322.0,0,1,31,121,24,124,24,15,42,1,4,1,7,2,0,0,0,0,0,0,3,11,2014.0,5.0,2.0,0
1950,2.0,2,48699.0,1,1,90,26,1,10,2,0,1,1,1,0,3,5,0,0,0,0,0,0,3,11,2013.0,5.0,21.0,0
1975,0.0,1,80144.0,0,0,47,240,132,445,250,192,108,1,3,7,8,1,0,0,0,0,0,0,3,11,2013.0,9.0,30.0,0
1956,0.0,0,54252.0,1,1,25,178,4,26,8,4,44,5,4,1,5,6,0,0,0,0,0,0,3,11,2013.0,5.0,28.0,0
1976,1.0,2,53204.0,1,1,40,29,0,8,2,0,6,1,1,0,3,4,0,0,0,0,0,0,3,11,2014.0,3.0,20.0,0
1962,1.0,2,58646.0,0,1,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,3,11,2013.0,6.0,10.0,0
1949,1.0,2,48150.0,0,1,24,173,2,39,3,2,47,3,5,1,4,7,0,0,0,0,0,0,3,11,2013.0,6.0,8.0,0
1955,0.0,4,58275.0,1,1,48,189,10,253,56,43,64,6,8,2,7,7,0,0,0,0,0,0,3,11,2013.0,6.0,2.0,0
1981,2.0,1,44953.0,0,0,31,728,17,133,11,8,124,1,7,3,13,6,1,0,0,0,0,0,3,11,2012.0,12.0,21.0,0
1974,1.0,1,43018.0,0,1,46,35,4,17,7,6,64,1,2,2,2,5,0,0,0,0,0,0,3,11,2013.0,11.0,1.0,0
1969,1.0,1,66476.0,0,1,80,742,28,152,25,9,57,2,6,8,10,4,0,0,0,0,0,0,3,11,2013.0,12.0,4.0,0
1952,2.0,1,69805.0,0,1,50,750,71,174,13,10,20,2,6,8,11,2,0,0,0,0,0,0,3,11,2014.0,1.0,21.0,0
1976,3.0,1,25176.0,1,1,79,4,0,4,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,2013.0,8.0,10.0,0
1956,3.0,2,53230.0,0,1,86,176,72,98,136,21,229,4,5,2,12,5,0,0,0,0,0,0,3,11,2012.0,8.0,3.0,0
1957,0.0,1,50116.0,1,1,68,54,0,10,0,0,2,2,1,0,4,5,0,1,0,0,0,0,3,11,2014.0,6.0,20.0,0
1966,0.0,2,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,2013.0,8.0,2.0,0
1974,0.0,1,33590.0,2,1,65,4,0,2,0,0,2,1,1,0,2,7,0,0,0,0,0,0,3,11,2013.0,11.0,3.0,0
1949,2.0,2,156924.0,0,0,85,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,2013.0,8.0,29.0,0
1957,1.0,6,65487.0,0,0,48,240,67,500,199,0,163,3,3,5,6,2,0,0,0,0,0,0,3,11,2014.0,1.0,10.0,0
1965,0.0,2,58692.0,0,1,21,301,11,61,4,7,11,1,8,2,4,7,0,0,0,0,0,0,3,11,2014.0,4.0,6.0,0
